## 토큰, 레이블 구분자 : \t
## 토큰 구분자 : \n
## 문장 구분자 : \n\n
## 주석 : ##
## 컬럼명 : CHAR	NE_TAG
## klue-ner-v1_train_00000_wikitree	특히 <영동고속도로:LC> <강릉:LC> 방향 <문막휴게소:LC>에서 <만종분기점:LC>까지 <5km:QT> 구간에는 승용차 전용 임시 갓길차로제를 운영하기로 했다.
이	O
번	O
 	O
기	O
념	O
식	O
에	O
는	O
 	O
군	O
 	O
주	O
요	O
지	O
휘	O
관	O
,	O
 	O
지	O
방	O
자	O
치	O
단	O
체	O
장	O
,	O
 	O
여	O
야	O
 	O
정	O
치	O
인	O
 	O
2	B-QT
5	I-QT
명	I-QT
 	O
등	O
도	O
 	O
참	O
석	O
할	O
 	O
것	O
으	O
로	O
 	O
알	O
려	O
졌	O
다	O
.	O

## klue-ner-v1_train_00323_nsmc	어차피 추억은 추억일 뿐이지, 주인공 로봇은 물론 기타 악역들까지도 죄 표절 디자인 투성이인것을 포장해봐야 <21세기:DT>의 지금와서는 부끄러운 과거일 뿐.<김청기:PS>는 왜 오리지날 디자인으로 만들어보자는 아랫사람들 의견 무시하고 저 디자인을 고집했는지 모르겠다.
어	O
차	O
피	O
 	O
추	O
억	O
은	O
 	O
추	O
억	O
일	O
 	O
뿐	O
이	O
지	O
,	O
 	O
주	O
인	O
공	O
 	O
로	O
봇	O
은	O
 	O
물	O
론	O
 	O
기	O
타	O
 	O
악	O
역	O
들	O
까	O
지	O
도	O
 	O
죄	O
 	O
표	O
절	O
 	O
디	O
자	O
인	O
 	O
투	O
성	O
이	O
인	O
것	O
을	O
 	O
포	O
장	O
해	O
봐	O
야	O
 	O
2	B-DT
1	I-DT
세	I-DT
기	I-DT
의	O
 	O
지	O
금	O
와	O
서	O
는	O
 	O
부	O
끄	O
러	O
운	O
 	O
과	O
거	O
일	O
 	O
뿐	O
.	O
김	B-PS
청	I-PS
기	I-PS
는	O
 	O
왜	O
 	O
오	O
리	O
지	O
날	O
 	O
디	O
자	O
인	O
으	O
로	O
 	O
만	O
들	O
어	O
보	O
자	O
는	O
 	O
아	O
랫	O
사	O
람	O
들	O
 	O
의	O
견	O
 	O
무	O
시	O
하	O
고	O
 	O
저	O
 	O
디	O
자	O
인	O
을	O
 	O
고	O
집	O
했	O
는	O
지	O
 	O
모	O
르	O
겠	O
다	O
.	O

## klue-ner-v1_train_00324_nsmc	<박경림:PS>나오는거 재미 업기만 해봐라..
박	B-PS
경	I-PS
림	I-PS
나	O
오	O
는	O
거	O
 	O
재	O
미	O
 	O
업	O
기	O
만	O
 	O
해	O
봐	O
라	O
.	O
.	O

## klue-ner-v1_train_00325_nsmc	그뤰린즈 댓나 재밌네유. 어른들 기준으로 보면 <5점:QT> 정도예유. 아이들 보여줄 만 해서 <10점:QT>. <기즈모:PS> 댓나 귀여워유. 가짜 티 많이 나는 컴퓨터에 앉아서 쉽게 쓱쓱 만드는 요즘 시대의 CG보다 이 시대의 실물 특수 효과가 훨씬 더 보는 재미가 있어유.
그	O
뤰	O
린	O
즈	O
 	O
댓	O
나	O
 	O
재	O
밌	O
네	O
유	O
.	O
 	O
어	O
른	O
들	O
 	O
기	O
준	O
으	O
로	O
 	O
보	O
면	O
 	O
5	B-QT
점	I-QT
 	O
정	O
도	O
예	O
유	O
.	O
 	O
아	O
이	O
들	O
 	O
보	O
여	O
줄	O
 	O
만	O
 	O
해	O
서	O
 	O
1	B-QT
0	I-QT
점	I-QT
.	O
 	O
기	B-PS
즈	I-PS
모	I-PS
 	O
댓	O
나	O
 	O
귀	O
여	O
워	O
유	O
.	O
 	O
가	O
짜	O
 	O
티	O
 	O
많	O
이	O
 	O
나	O
는	O
 	O
컴	O
퓨	O
터	O
에	O
 	O
앉	O
아	O
서	O
 	O
쉽	O
게	O
 	O
쓱	O
쓱	O
 	O
만	O
드	O
는	O
 	O
요	O
즘	O
 	O
시	O
대	O
의	O
 	O
C	O
G	O
보	O
다	O
 	O
이	O
 	O
시	O
대	O
의	O
 	O
실	O
물	O
 	O
특	O
수	O
 	O
효	O
과	O
가	O
 	O
훨	O
씬	O
 	O
더	O
 	O
보	O
는	O
 	O
재	O
미	O
가	O
 	O
있	O
어	O
유	O
.	O

## klue-ner-v1_train_00326_wikitree	양국 장관은 이어 <올해:DT>로 <60주년:DT>을 맞은 <한:OG><미:OG> 동맹을 발전시키는 방안에 대해서도 포괄적인 협의를 한 것으로 알려졌다.
양	O
국	O
 	O
장	O
관	O
은	O
 	O
이	O
어	O
 	O
올	B-DT
해	I-DT
로	O
 	O
6	B-DT
0	I-DT
주	I-DT
년	I-DT
을	O
 	O
맞	O
은	O
 	O
한	B-OG
미	B-OG
 	O
동	O
맹	O
을	O
 	O
발	O
전	O
시	O
키	O
는	O
 	O
방	O
안	O
에	O
 	O
대	O
해	O
서	O
도	O
 	O
포	O
괄	O
적	O
인	O
 	O
협	O
의	O
를	O
 	O
한	O
 	O
것	O
으	O
로	O
 	O
알	O
려	O
졌	O
다	O
.	O

## klue-ner-v1_train_00327_nsmc	우리 가족이 이걸 올레tv로 <10000원:QT>주고 봤어요 ᅲᅲ
우	O
리	O
 	O
가	O
족	O
이	O
 	O
이	O
걸	O
 	O
올	O
레	O
t	O
v	O
로	O
 	O
1	B-QT
0	I-QT
0	I-QT
0	I-QT
0	I-QT
원	I-QT
주	O
고	O
 	O
봤	O
어	O
요	O
 	O
ᅲ	O
ᅲ	O

## klue-ner-v1_train_00328_wikitree	<이대형:PS>은 이전 소속팀 <LG트윈스:OG>와의 계약이 결렬된 후, <KIA 타이거즈:OG>와 총액 <24억원:QT>으로 계약을 맺었습니다.
이	B-PS
대	I-PS
형	I-PS
은	O
 	O
이	O
전	O
 	O
소	O
속	O
팀	O
 	O
L	B-OG
G	I-OG
트	I-OG
윈	I-OG
스	I-OG
와	O
의	O
 	O
계	O
약	O
이	O
 	O
결	O
렬	O
된	O
 	O
후	O
,	O
 	O
K	B-OG
I	I-OG
A	I-OG
 	I-OG
타	I-OG
이	I-OG
거	I-OG
즈	I-OG
와	O
 	O
총	O
액	O
 	O
2	B-QT
4	I-QT
억	I-QT
원	I-QT
으	O
로	O
 	O
계	O
약	O
을	O
 	O
맺	O
었	O
습	O
니	O
다	O
.	O

## klue-ner-v1_train_00329_nsmc	ᄏᄏᄏᄏ<바이올라:PS> 진심 개웃김 ᄏᄏ 남자연기 개잘해 ᄏᄏᄏ 그래도 하이틴영화중엔 가장 웃기고 재밌는거같음
ᄏ	O
ᄏ	O
ᄏ	O
ᄏ	O
바	B-PS
이	I-PS
올	I-PS
라	I-PS
 	O
진	O
심	O
 	O
개	O
웃	O
김	O
 	O
ᄏ	O
ᄏ	O
 	O
남	O
자	O
연	O
기	O
 	O
개	O
잘	O
해	O
 	O
ᄏ	O
ᄏ	O
ᄏ	O
 	O
그	O
래	O
도	O
 	O
하	O
이	O
틴	O
영	O
화	O
중	O
엔	O
 	O
가	O
장	O
 	O
웃	O
기	O
고	O
 	O
재	O
밌	O
는	O
거	O
같	O
음	O

## klue-ner-v1_train_00330_wikitree	특히 <여의도:LC> 캠핑촌은 <오전 12시:TI> 이전에 자리가 모두 선점돼 북새통을 이루기도 했습니다.
특	O
히	O
 	O
여	B-LC
의	I-LC
도	I-LC
 	O
캠	O
핑	O
촌	O
은	O
 	O
오	B-TI
전	I-TI
 	I-TI
1	I-TI
2	I-TI
시	I-TI
 	O
이	O
전	O
에	O
 	O
자	O
리	O
가	O
 	O
모	O
두	O
 	O
선	O
점	O
돼	O
 	O
북	O
새	O
통	O
을	O
 	O
이	O
루	O
기	O
도	O
 	O
했	O
습	O
니	O
다	O
.	O

## klue-ner-v1_train_00331_wikitree	<두 사람:QT>의 '재회'는 <오는 11일:DT> 첫 방송을 앞두고 있는 <KBS:OG> 일일드라마 '가족을 지켜라'에서 만나볼 수 있다.
두	B-QT
 	I-QT
사	I-QT
람	I-QT
의	O
 	O
'	O
재	O
회	O
'	O
는	O
 	O
오	B-DT
는	I-DT
 	I-DT
1	I-DT
1	I-DT
일	I-DT
 	O
첫	O
 	O
방	O
송	O
을	O
 	O
앞	O
두	O
고	O
 	O
있	O
는	O
 	O
K	B-OG
B	I-OG
S	I-OG
 	O
일	O
일	O
드	O
라	O
마	O
 	O
'	O
가	O
족	O
을	O
 	O
지	O
켜	O
라	O
'	O
에	O
서	O
 	O
만	O
나	O
볼	O
 	O
수	O
 	O
있	O
다	O
.	O

## klue-ner-v1_train_00332_nsmc	아무생각없이 웃고 싶을때 보면 딱 좋은 영화~<임창정:PS> 백수캐릭터의 완성작이라고 생각해도 됨.후반에 조금 개연성이 떨어지지만 그래도 유쾌하게 웃고 즐길수 있는 로맨틱코미디영화^^ <임창정:PS>과 <김선아:PS>의 궁상 찌질이 생활을 안본신분들은 한번 보세요^^
아	O
무	O
생	O
각	O
없	O
이	O
 	O
웃	O
고	O
 	O
싶	O
을	O
때	O
 	O
보	O
면	O
 	O
딱	O
 	O
좋	O
은	O
 	O
영	O
화	O
~	O
임	B-PS
창	I-PS
정	I-PS
 	O
백	O
수	O
캐	O
릭	O
터	O
의	O
 	O
완	O
성	O
작	O
이	O
라	O
고	O
 	O
생	O
각	O
해	O
도	O
 	O
됨	O
.	O
후	O
반	O
에	O
 	O
조	O
금	O
 	O
개	O
연	O
성	O
이	O
 	O
떨	O
어	O
지	O
지	O
만	O
 	O
그	O
래	O
도	O
 	O
유	O
쾌	O
하	O
게	O
 	O
웃	O
고	O
 	O
즐	O
길	O
수	O
 	O
있	O
는	O
 	O
로	O
맨	O
틱	O
코	O
미	O
디	O
영	O
화	O
^	O
^	O
 	O
임	B-PS
창	I-PS
정	I-PS
과	O
 	O
김	B-PS
선	I-PS
아	I-PS
의	O
 	O
궁	O
상	O
 	O
찌	O
질	O
이	O
 	O
생	O
활	O
을	O
 	O
안	O
본	O
신	O
분	O
들	O
은	O
 	O
한	O
번	O
 	O
보	O
세	O
요	O
^	O
^	O

## klue-ner-v1_train_00333_wikitree	<경찰:OG>은 또 이들이 집단 폭행으로 <이:PS>씨의 대리운전 업무를 방해한 사실도 인정된다고 보고 유가족 <4명:QT>과 <김:PS> 의원 모두에게 업무방해 혐의를 추가했다.
경	B-OG
찰	I-OG
은	O
 	O
또	O
 	O
이	O
들	O
이	O
 	O
집	O
단	O
 	O
폭	O
행	O
으	O
로	O
 	O
이	B-PS
씨	O
의	O
 	O
대	O
리	O
운	O
전	O
 	O
업	O
무	O
를	O
 	O
방	O
해	O
한	O
 	O
사	O
실	O
도	O
 	O
인	O
정	O
된	O
다	O
고	O
 	O
보	O
고	O
 	O
유	O
가	O
족	O
 	O
4	B-QT
명	I-QT
과	O
 	O
김	B-PS
 	O
의	O
원	O
 	O
모	O
두	O
에	O
게	O
 	O
업	O
무	O
방	O
해	O
 	O
혐	O
의	O
를	O
 	O
추	O
가	O
했	O
다	O
.	O

## klue-ner-v1_train_00334_wikitree	항소심 판결에서 마약 관련 혐의에 대해 <김:PS>씨의 자백만이 유일한 증거로 채택된 것이다.
항	O
소	O
심	O
 	O
판	O
결	O
에	O
서	O
 	O
마	O
약	O
 	O
관	O
련	O
 	O
혐	O
의	O
에	O
 	O
대	O
해	O
 	O
김	B-PS
씨	O
의	O
 	O
자	O
백	O
만	O
이	O
 	O
유	O
일	O
한	O
 	O
증	O
거	O
로	O
 	O
채	O
택	O
된	O
 	O
것	O
이	O
다	O
.	O

## klue-ner-v1_train_00335_nsmc	초등학교 <3학년:QT> 때 비디오로 봤었는데 멘붕.. 제목을 몰랐었는데 이거였구낭.. ᄏ <30:QT>이 넘어서도 기억에 남는 작품.
초	O
등	O
학	O
교	O
 	O
3	B-QT
학	I-QT
년	I-QT
 	O
때	O
 	O
비	O
디	O
오	O
로	O
 	O
봤	O
었	O
는	O
데	O
 	O
멘	O
붕	O
.	O
.	O
 	O
제	O
목	O
을	O
 	O
몰	O
랐	O
었	O
는	O
데	O
 	O
이	O
거	O
였	O
구	O
낭	O
.	O
.	O
 	O
ᄏ	O
 	O
3	B-QT
0	I-QT
이	O
 	O
넘	O
어	O
서	O
도	O
 	O
기	O
억	O
에	O
 	O
남	O
는	O
 	O
작	O
품	O
.	O

## klue-ner-v1_train_00336_nsmc	잘 모르는 배우지만 <이소정:PS> 정말 사랑스럽습니다..
잘	O
 	O
모	O
르	O
는	O
 	O
배	O
우	O
지	O
만	O
 	O
이	B-PS
소	I-PS
정	I-PS
 	O
정	O
말	O
 	O
사	O
랑	O
스	O
럽	O
습	O
니	O
다	O
.	O
.	O

## klue-ner-v1_train_00337_nsmc	제대로 된 <한 컷:QT> 구경하기가 힘든 거의 최악의 험난한 영화
제	O
대	O
로	O
 	O
된	O
 	O
한	B-QT
 	I-QT
컷	I-QT
 	O
구	O
경	O
하	O
기	O
가	O
 	O
힘	O
든	O
 	O
거	O
의	O
 	O
최	O
악	O
의	O
 	O
험	O
난	O
한	O
 	O
영	O
화	O

## klue-ner-v1_train_00338_wikitree	사연을 이야기하던 <김보민:PS>은 폭풍 눈물을 흘려 이 때문에 속눈썹이 떨어졌고 출연자 보호차원에서 감정을 추스릴 시간을 갖기도 했다.
사	O
연	O
을	O
 	O
이	O
야	O
기	O
하	O
던	O
 	O
김	B-PS
보	I-PS
민	I-PS
은	O
 	O
폭	O
풍	O
 	O
눈	O
물	O
을	O
 	O
흘	O
려	O
 	O
이	O
 	O
때	O
문	O
에	O
 	O
속	O
눈	O
썹	O
이	O
 	O
떨	O
어	O
졌	O
고	O
 	O
출	O
연	O
자	O
 	O
보	O
호	O
차	O
원	O
에	O
서	O
 	O
감	O
정	O
을	O
 	O
추	O
스	O
릴	O
 	O
시	O
간	O
을	O
 	O
갖	O
기	O
도	O
 	O
했	O
다	O
.	O

## klue-ner-v1_train_00339_nsmc	보기 시작해서 <5분:TI>만에 꺼버렸습니다.
보	O
기	O
 	O
시	O
작	O
해	O
서	O
 	O
5	B-TI
분	I-TI
만	O
에	O
 	O
꺼	O
버	O
렸	O
습	O
니	O
다	O
.	O

## klue-ner-v1_train_00340_wikitree	<침례교:OG>도인 그녀는 다른 직원이 기꺼이 자신의 종교활동을 위해 근무표를 바꿔주었지만 고용주가 <일요일:DT> 근무를 강요하고 징계를 내리겠다며 협박했다고 주장했다.
침	B-OG
례	I-OG
교	I-OG
도	O
인	O
 	O
그	O
녀	O
는	O
 	O
다	O
른	O
 	O
직	O
원	O
이	O
 	O
기	O
꺼	O
이	O
 	O
자	O
신	O
의	O
 	O
종	O
교	O
활	O
동	O
을	O
 	O
위	O
해	O
 	O
근	O
무	O
표	O
를	O
 	O
바	O
꿔	O
주	O
었	O
지	O
만	O
 	O
고	O
용	O
주	O
가	O
 	O
일	B-DT
요	I-DT
일	I-DT
 	O
근	O
무	O
를	O
 	O
강	O
요	O
하	O
고	O
 	O
징	O
계	O
를	O
 	O
내	O
리	O
겠	O
다	O
며	O
 	O
협	O
박	O
했	O
다	O
고	O
 	O
주	O
장	O
했	O
다	O
.	O

## klue-ner-v1_train_00341_nsmc	15살때 나왔었구나 ᄃᄃ...그때 쯤 <하지원:PS> <권상우:PS> 많이 나올때였지 아마ᄏᄏᄏᄏᄏ달달하담
1	O
5	O
살	O
때	O
 	O
나	O
왔	O
었	O
구	O
나	O
 	O
ᄃ	O
ᄃ	O
.	O
.	O
.	O
그	O
때	O
 	O
쯤	O
 	O
하	B-PS
지	I-PS
원	I-PS
 	O
권	B-PS
상	I-PS
우	I-PS
 	O
많	O
이	O
 	O
나	O
올	O
때	O
였	O
지	O
 	O
아	O
마	O
ᄏ	O
ᄏ	O
ᄏ	O
ᄏ	O
ᄏ	O
달	O
달	O
하	O
담	O

## klue-ner-v1_train_00342_wikitree	<윤진숙:PS> 전 <해양수산부:OG> 장관이 <6일:DT> <오후:TI> 경질된 직후 <동아일보:OG>와 가진 전화인터뷰 내용을 이미지로 만들었습니다.
윤	B-PS
진	I-PS
숙	I-PS
 	O
전	O
 	O
해	B-OG
양	I-OG
수	I-OG
산	I-OG
부	I-OG
 	O
장	O
관	O
이	O
 	O
6	B-DT
일	I-DT
 	O
오	B-TI
후	I-TI
 	O
경	O
질	O
된	O
 	O
직	O
후	O
 	O
동	B-OG
아	I-OG
일	I-OG
보	I-OG
와	O
 	O
가	O
진	O
 	O
전	O
화	O
인	O
터	O
뷰	O
 	O
내	O
용	O
을	O
 	O
이	O
미	O
지	O
로	O
 	O
만	O
들	O
었	O
습	O
니	O
다	O
.	O

## klue-ner-v1_train_00343_nsmc	별 <하나:QT>가 최하 점수로 아는 분이 몇 분 계신데, 별 반개가 <1점:QT>으로 최하 점수입니다.
별	O
 	O
하	B-QT
나	I-QT
가	O
 	O
최	O
하	O
 	O
점	O
수	O
로	O
 	O
아	O
는	O
 	O
분	O
이	O
 	O
몇	O
 	O
분	O
 	O
계	O
신	O
데	O
,	O
 	O
별	O
 	O
반	O
개	O
가	O
 	O
1	B-QT
점	I-QT
으	O
로	O
 	O
최	O
하	O
 	O
점	O
수	O
입	O
니	O
다	O
.	O

## klue-ner-v1_train_00344_wikitree	<국군의무사령부:OG>는 <이날:DT> <하:PS> 하사가 퇴원하는 모습을 언론에 공개했다.
국	B-OG
군	I-OG
의	I-OG
무	I-OG
사	I-OG
령	I-OG
부	I-OG
는	O
 	O
이	B-DT
날	I-DT
 	O
하	B-PS
 	O
하	O
사	O
가	O
 	O
퇴	O
원	O
하	O
는	O
 	O
모	O
습	O
을	O
 	O
언	O
론	O
에	O
 	O
공	O
개	O
했	O
다	O
.	O

## klue-ner-v1_train_00345_nsmc	<20년 전:DT>에 보았지만 지금도 기억에 남는 영화
2	B-DT
0	I-DT
년	I-DT
 	I-DT
전	I-DT
에	O
 	O
보	O
았	O
지	O
만	O
 	O
지	O
금	O
도	O
 	O
기	O
억	O
에	O
 	O
남	O
는	O
 	O
영	O
화	O

## klue-ner-v1_train_00346_wikitree	특히 <축구협회:OG>는 <허:PS> 부회장의 '<홍 감독:PS> 유임 발표'가 불과 <1주일:DT> 만에 휴짓조각처럼 변하면서 당장 후임 사령탑을 찾는 게 '발등의 불'이 됐다.
특	O
히	O
 	O
축	B-OG
구	I-OG
협	I-OG
회	I-OG
는	O
 	O
허	B-PS
 	O
부	O
회	O
장	O
의	O
 	O
'	O
홍	B-PS
 	I-PS
감	I-PS
독	I-PS
 	O
유	O
임	O
 	O
발	O
표	O
'	O
가	O
 	O
불	O
과	O
 	O
1	B-DT
주	I-DT
일	I-DT
 	O
만	O
에	O
 	O
휴	O
짓	O
조	O
각	O
처	O
럼	O
 	O
변	O
하	O
면	O
서	O
 	O
당	O
장	O
 	O
후	O
임	O
 	O
사	O
령	O
탑	O
을	O
 	O
찾	O
는	O
 	O
게	O
 	O
'	O
발	O
등	O
의	O
 	O
불	O
'	O
이	O
 	O
됐	O
다	O
.	O

## klue-ner-v1_train_00347_nsmc	<김기덕:PS> 영화는 빈집,나쁜남자,<봄:DT><여름:DT>... 등등 대사가 없을수록 매력적인데 이 영화도 그랬다.
김	B-PS
기	I-PS
덕	I-PS
 	O
영	O
화	O
는	O
 	O
빈	O
집	O
,	O
나	O
쁜	O
남	O
자	O
,	O
봄	B-DT
여	B-DT
름	I-DT
.	O
.	O
.	O
 	O
등	O
등	O
 	O
대	O
사	O
가	O
 	O
없	O
을	O
수	O
록	O
 	O
매	O
력	O
적	O
인	O
데	O
 	O
이	O
 	O
영	O
화	O
도	O
 	O
그	O
랬	O
다	O
.	O

## klue-ner-v1_train_00348_nsmc	특히 <김민희:PS>씨 연기가 인상적이었습니다.
특	O
히	O
 	O
김	B-PS
민	I-PS
희	I-PS
씨	O
 	O
연	O
기	O
가	O
 	O
인	O
상	O
적	O
이	O
었	O
습	O
니	O
다	O
.	O

## klue-ner-v1_train_00349_wikitree	<경찰:OG>과 <소방당국:OG>은 휴대전화 위치추적을 통해 범인을 추적했고, <이날:DT> <오후 2시:TI>쯤 <부산진구:LC> 모 레포츠센터에 있던 <오:PS> 씨를 검거했다.
경	B-OG
찰	I-OG
과	O
 	O
소	B-OG
방	I-OG
당	I-OG
국	I-OG
은	O
 	O
휴	O
대	O
전	O
화	O
 	O
위	O
치	O
추	O
적	O
을	O
 	O
통	O
해	O
 	O
범	O
인	O
을	O
 	O
추	O
적	O
했	O
고	O
,	O
 	O
이	B-DT
날	I-DT
 	O
오	B-TI
후	I-TI
 	I-TI
2	I-TI
시	I-TI
쯤	O
 	O
부	B-LC
산	I-LC
진	I-LC
구	I-LC
 	O
모	O
 	O
레	O
포	O
츠	O
센	O
터	O
에	O
 	O
있	O
던	O
 	O
오	B-PS
 	O
씨	O
를	O
 	O
검	O
거	O
했	O
다	O
.	O

## klue-ner-v1_train_00350_nsmc	왜 평점 주는곳에는 <0:QT>은 없지?....
왜	O
 	O
평	O
점	O
 	O
주	O
는	O
곳	O
에	O
는	O
 	O
0	B-QT
은	O
 	O
없	O
지	O
?	O
.	O
.	O
.	O
.	O

## klue-ner-v1_train_00351_wikitree	한편 해당 사연은 총 <30표:QT>를 얻는데 그쳐 <1승:QT> 달성에 실패했습니다.
한	O
편	O
 	O
해	O
당	O
 	O
사	O
연	O
은	O
 	O
총	O
 	O
3	B-QT
0	I-QT
표	I-QT
를	O
 	O
얻	O
는	O
데	O
 	O
그	O
쳐	O
 	O
1	B-QT
승	I-QT
 	O
달	O
성	O
에	O
 	O
실	O
패	O
했	O
습	O
니	O
다	O
.	O

## klue-ner-v1_train_00352_wikitree	<박:PS> 대통령의 <이날:DT> <충북:LC> 방문은 <지난 4월16일:DT> 발생한 세월호 참사 이후 사실상 첫 지방 방문이다.
박	B-PS
 	O
대	O
통	O
령	O
의	O
 	O
이	B-DT
날	I-DT
 	O
충	B-LC
북	I-LC
 	O
방	O
문	O
은	O
 	O
지	B-DT
난	I-DT
 	I-DT
4	I-DT
월	I-DT
1	I-DT
6	I-DT
일	I-DT
 	O
발	O
생	O
한	O
 	O
세	O
월	O
호	O
 	O
참	O
사	O
 	O
이	O
후	O
 	O
사	O
실	O
상	O
 	O
첫	O
 	O
지	O
방	O
 	O
방	O
문	O
이	O
다	O
.	O

## klue-ner-v1_train_00353_nsmc	지금나이가 <21살:QT> 초등학교때 본기억이 너무 재미있다
지	O
금	O
나	O
이	O
가	O
 	O
2	B-QT
1	I-QT
살	I-QT
 	O
초	O
등	O
학	O
교	O
때	O
 	O
본	O
기	O
억	O
이	O
 	O
너	O
무	O
 	O
재	O
미	O
있	O
다	O

## klue-ner-v1_train_00354_wikitree	경찰은 최근 남부지방에 비가 많이 내리면서 논 웅덩이에 <1.5m:QT> 이상 물이 고여 웅덩이 아래쪽에 잠겨 있던 <정:PS>씨의 시신이 떠오른 것으로 보고 있다.
경	O
찰	O
은	O
 	O
최	O
근	O
 	O
남	O
부	O
지	O
방	O
에	O
 	O
비	O
가	O
 	O
많	O
이	O
 	O
내	O
리	O
면	O
서	O
 	O
논	O
 	O
웅	O
덩	O
이	O
에	O
 	O
1	B-QT
.	I-QT
5	I-QT
m	I-QT
 	O
이	O
상	O
 	O
물	O
이	O
 	O
고	O
여	O
 	O
웅	O
덩	O
이	O
 	O
아	O
래	O
쪽	O
에	O
 	O
잠	O
겨	O
 	O
있	O
던	O
 	O
정	B-PS
씨	O
의	O
 	O
시	O
신	O
이	O
 	O
떠	O
오	O
른	O
 	O
것	O
으	O
로	O
 	O
보	O
고	O
 	O
있	O
다	O
.	O

## klue-ner-v1_train_00355_wikitree	<국무총리실:OG>은 이번 인사에서 규제조정실장을 개방형으로 공모하기로 결정했습니다.
국	B-OG
무	I-OG
총	I-OG
리	I-OG
실	I-OG
은	O
 	O
이	O
번	O
 	O
인	O
사	O
에	O
서	O
 	O
규	O
제	O
조	O
정	O
실	O
장	O
을	O
 	O
개	O
방	O
형	O
으	O
로	O
 	O
공	O
모	O
하	O
기	O
로	O
 	O
결	O
정	O
했	O
습	O
니	O
다	O
.	O

## klue-ner-v1_train_00356_wikitree	결정적인 제보자이자 사건 해결의 단초 제공자는 바로 피의자 <허:PS>모(<37:QT>)씨의 부인이었기 때문이다.
결	O
정	O
적	O
인	O
 	O
제	O
보	O
자	O
이	O
자	O
 	O
사	O
건	O
 	O
해	O
결	O
의	O
 	O
단	O
초	O
 	O
제	O
공	O
자	O
는	O
 	O
바	O
로	O
 	O
피	O
의	O
자	O
 	O
허	B-PS
모	O
(	O
3	B-QT
7	I-QT
)	O
씨	O
의	O
 	O
부	O
인	O
이	O
었	O
기	O
 	O
때	O
문	O
이	O
다	O
.	O

## klue-ner-v1_train_00357_wikitree	배우 <황정음:PS>(<30:QT>)씨가 <SG워너비:PS> 멤버 <김용준:PS>(<31:QT>)씨와 교제 <9년:DT>만에 결별했다는 보도가 나왔다.
배	O
우	O
 	O
황	B-PS
정	I-PS
음	I-PS
(	O
3	B-QT
0	I-QT
)	O
씨	O
가	O
 	O
S	B-PS
G	I-PS
워	I-PS
너	I-PS
비	I-PS
 	O
멤	O
버	O
 	O
김	B-PS
용	I-PS
준	I-PS
(	O
3	B-QT
1	I-QT
)	O
씨	O
와	O
 	O
교	O
제	O
 	O
9	B-DT
년	I-DT
만	O
에	O
 	O
결	O
별	O
했	O
다	O
는	O
 	O
보	O
도	O
가	O
 	O
나	O
왔	O
다	O
.	O

## klue-ner-v1_train_00358_wikitree	친구들과 함께 있던 <류:PS> 씨는 <혜리:PS> 씨 부탁을 흔쾌히 수용하고 그 길로 나와 <혜리:PS> 씨와 함께 연기 호흡을 맞추며 도와줬다고 한다.
친	O
구	O
들	O
과	O
 	O
함	O
께	O
 	O
있	O
던	O
 	O
류	B-PS
 	O
씨	O
는	O
 	O
혜	B-PS
리	I-PS
 	O
씨	O
 	O
부	O
탁	O
을	O
 	O
흔	O
쾌	O
히	O
 	O
수	O
용	O
하	O
고	O
 	O
그	O
 	O
길	O
로	O
 	O
나	O
와	O
 	O
혜	B-PS
리	I-PS
 	O
씨	O
와	O
 	O
함	O
께	O
 	O
연	O
기	O
 	O
호	O
흡	O
을	O
 	O
맞	O
추	O
며	O
 	O
도	O
와	O
줬	O
다	O
고	O
 	O
한	O
다	O
.	O

## klue-ner-v1_train_00359_nsmc	<2015년:DT> 지금은 느낄 수 없는 풋풋함과 감성을 지닌 영화. .
2	B-DT
0	I-DT
1	I-DT
5	I-DT
년	I-DT
 	O
지	O
금	O
은	O
 	O
느	O
낄	O
 	O
수	O
 	O
없	O
는	O
 	O
풋	O
풋	O
함	O
과	O
 	O
감	O
성	O
을	O
 	O
지	O
닌	O
 	O
영	O
화	O
.	O
 	O
.	O

## klue-ner-v1_train_00360_wikitree	조사 과정에서 <A:PS>양 일행이 폭행 장면을 촬영했다는 <B:PS>양의 진술도 나왔다고 경찰은 전했다.
조	O
사	O
 	O
과	O
정	O
에	O
서	O
 	O
A	B-PS
양	O
 	O
일	O
행	O
이	O
 	O
폭	O
행	O
 	O
장	O
면	O
을	O
 	O
촬	O
영	O
했	O
다	O
는	O
 	O
B	B-PS
양	O
의	O
 	O
진	O
술	O
도	O
 	O
나	O
왔	O
다	O
고	O
 	O
경	O
찰	O
은	O
 	O
전	O
했	O
다	O
.	O

## klue-ner-v1_train_00361_wikitree	그는 자신과 당시 별장에서 <유:PS>씨와 함께 있던 <기독교복음침례회:OG>(일명 <구원파:OG>) 여신도 <신:PS>모(<33:QT>·구속기소)씨 외에 <유:PS>씨들 돕던 <제3:QT>의 조력자는 없었다고도 주장했다.
그	O
는	O
 	O
자	O
신	O
과	O
 	O
당	O
시	O
 	O
별	O
장	O
에	O
서	O
 	O
유	B-PS
씨	O
와	O
 	O
함	O
께	O
 	O
있	O
던	O
 	O
기	B-OG
독	I-OG
교	I-OG
복	I-OG
음	I-OG
